dt: 0.01 CellNx: 12 b: 5.26 noParticles: 2048
Kinetic energy     Potential energy   Total energy   Temperature         Pressure   Average displacement
2526.18            13832.9               16359.1         0.822325         4.33243         0.347514
2260.86            13566.3               15827.1         0.735958         4.91958         0.671969
1842.68            13143.7               14986.4         0.59983         5.85015         0.949886
1357.64            12651.9               14009.6         0.441941         6.91288         1.16519
940.969            12232.7               13173.6         0.306305         7.81437         1.31716
713.858            12001.2               12715.1         0.232376         8.32318         1.42447
706.24            11994.3               12700.6         0.229896         8.37227         1.51722
845.731            12139.4               12985.1         0.275303         8.10565         1.62153
1024.85            12323.1               13347.9         0.333611         7.71568         1.74937
1165.76            12464.8               13630.6         0.379478         7.40512         1.89959
1237.54            12535.4               13772.9         0.402846         7.24807         2.064
1246.77            12541.3               13788.1         0.405849         7.21865         2.23324
1221.48            12511.8               13733.3         0.397618         7.27617         2.40077
1195.89            12482.4               13678.3         0.389287         7.35634         2.56457
1196.21            12480               13676.2         0.38939         7.3921         2.72687
1233.1            12516.1               13749.2         0.401401         7.3228         2.89217
1301.19            12584.8               13886         0.423566         7.18948         3.06506
1383.72            12668.6               14052.4         0.450428         7.02459         3.24841
1460.44            12744.7               14205.2         0.475403         6.85787         3.44255
1513.39            12796.4               14309.8         0.49264         6.73332         3.64545
1532.66            12813.9               14346.6         0.498914         6.68264         3.85317
1518.71            12799.6               14318.3         0.494372         6.6864         4.06123
1479.93            12758.3               14238.3         0.481749         6.76602         4.26571
1430.96            12706.3               14137.3         0.465807         6.87364         4.46415
1387.84            12661.8               14049.6         0.451769         6.95645         4.65622
1360.87            12633.3               13994.1         0.442991         7.01807         4.84352
1352.18            12624.9               13977.1         0.440163         7.04646         5.02847
1357.9            12633.1               13991         0.442024         7.05519         5.21351
1371.48            12646.8               14018.3         0.446444         7.02818         5.4004
1386.31            12662.3               14048.6         0.451274         6.99531         5.59004
1395.95            12673.5               14069.5         0.454412         6.97772         5.78217
1394.77            12672.7               14067.5         0.454027         6.96414         5.97538
1381.72            12657.8               14039.5         0.44978         6.98333         6.16737
1361.75            12637.3               13999         0.443277         7.02304         6.35615
1342.83            12617.8               13960.7         0.437118         7.05931         6.54066
1332.23            12606.2               13938.4         0.43367         7.10379         6.72132
1332.79            12606.3               13939.1         0.43385         7.10269         6.89976
1342.13            12615.4               13957.6         0.436892         7.08556         7.07803
1355.44            12628.9               13984.3         0.441224         7.05354         7.25806
1367.91            12640.9               14008.8         0.445284         7.0157         7.44102
1376.42            12649.2               14025.6         0.448053         6.9843         7.62719
1380.28            12653               14033.2         0.449311         6.98517         7.81591
1381.64            12654.7               14036.4         0.449753         6.98477         8.00607
1383.48            12655.8               14039.3         0.450352         6.99126         8.19674
1388.06            12659               14047.1         0.451844         7.00161         8.38746
1395.77            12665.7               14061.5         0.454351         6.98208         8.57829
1404.64            12674.4               14079         0.457239         6.96114         8.76951
1412.58            12680.6               14093.1         0.459823         6.9429         8.96138
1418.8            12686.6               14105.4         0.46185         6.91271         9.15396
1422.7            12691.1               14113.8         0.463117         6.89289         9.34716
1423.62            12691.9               14115.5         0.463417         6.90359         9.54046
1421.41            12689.4               14110.8         0.462699         6.91014         9.73338
1415.68            12683.4               14099.1         0.460833         6.93756         9.92555
1405.71            12672.9               14078.6         0.457588         6.95123         10.1166
1391.1            12658.9               14050         0.452832         6.98497         10.3061
1374.13            12643               14017.2         0.447308         7.03132         10.4933
1359.15            12628.2               13987.3         0.442433         7.05245         10.678
